0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-pegs.png HTTP/1.1" 200 34983
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-clean_solution.png HTTP/1.1" 200 14907
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/holdHouse/hh-ribbon.png HTTP/1.1" 200 34662
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 200 56780
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/video/video.gif HTTP/1.1" 200 20443522
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/video/video.png HTTP/1.1" 200 325114
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/video/video.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/video/video.mp4 HTTP/1.1" 206 6058576
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:12 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/single.jsp?id=7001 HTTP/1.1" 200 59035
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/js/jquery.zoomtoo.js HTTP/1.1" 200 6847
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of4.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of5.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of6.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of7.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of8.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of9.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of10.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of11.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of12.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of13.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of15.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/of14.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/sh.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:20 +0700] "GET /BIGSHOP/images/si-1.jpg HTTP/1.1" 200 81632
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:25 +0700] "GET /BIGSHOP/login.jsp HTTP/1.1" 200 11985
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:25 +0700] "GET /BIGSHOP/images/sh.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:29:11 +0700] "POST /BIGSHOP/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:29:11 +0700] "GET /BIGSHOP/index.jsp HTTP/1.1" 200 190823
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:29:11 +0700] "GET /BIGSHOP/video/video.jpeg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:29:15 +0700] "GET /BIGSHOP/login.jsp HTTP/1.1" 200 11985
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:29:15 +0700] "GET /BIGSHOP/images/sh.jpg HTTP/1.1" 404 780
